Chinese (Simpl.),Pinyin,English
使用,shǐyòng,to use; to employ; to apply; to make use of
世纪,shìjì,century
市场,shìchǎng,marketplace; market (also in abstract)
试,shì,to test; to try; experiment; examination
适合,shìhé,to fit; to suit
适应,shìyìng,to adapt; to fit; to suit
收,shōu,to receive; to accept; to collect; to put away
收入,shōurù,to take in; income; revenue
收拾,shōushi,to put in order; to tidy up; to pack; to repair
首都,shǒudū,capital (city)
首先,shǒuxiān,first (of all); in the first place
受不了,shòubùliǎo,unbearable; unable to endure; can't stand
受到,shòudào,to receive (praise an education punishment etc); to be ...ed (praised educated punished etc)
售货员,shòuhuòyuán,salesperson
输,shū,to lose; to be beaten; (bound form) to transport; (literary) to donate
熟悉,shúxī,to be familiar with; to know well
数量,shùliàng,amount; quantity; quantitative
数字,shùzì,numeral; digit; number; figure
帅,shuài,handsome; smart; commander-in-chief
顺便,shùnbiàn,conveniently; in passing; without much extra effort
顺利,shùnlì,smoothly; without a hitch
顺序,shùnxù,sequence; order
说明,shuōmíng,to explain; to illustrate; to indicate; to show
硕士,shuòshì,master's degree; person who has a master's degree; learned person
死,sǐ,to die; impassable; uncrossable; inflexible
速度,sùdù,speed; rate; velocity; (music) tempo
塑料袋,sùliàodài,plastic bag
酸,suān,sour; tart; sick at heart; grieved
算,suàn,to calculate; to compute; to regard as
随便,suíbiàn,as one wishes; as one pleases; at random; negligent
随着,suízhe,along with; in the wake of; following
孙子,sūnzi,grandson; son's son
所有,suǒyǒu,all; to have; to possess; to own
台,tái,platform; stage; (measure word for machines/appliances)
抬,tái,to lift; to raise; (of two or more persons) to carry
态度,tàidu,manner; bearing; attitude; approach
谈,tán,to speak; to talk; to converse; to chat
汤,tāng,soup; broth
躺,tǎng,to recline; to lie down
